Aeschylus|Prometheus Bound|More leisure than I wish is mine.
Howard Aiken|NULL|Don't worry about people stealing your ideas. If your ideas are any good, you'll have to ram them down people's throats.
Christopher Alexander|The Nature of Order, Book 1|In the 20th century we have passed through a unique period, one in which architecture as a discipline has been in a state that is almost unimaginably bad. Sometimes I think of it as a mass psychosis of unprecedented dimension, in which the people of earth - in large numbers and in almost all contemporary societies - have created a form of architecture which is against life, insane, image-ridden, hollow.
Christopher Alexander|The Nature of Order, Book 1|For twenty years, I spent two or three hours a day looking at pairs of things... comparing them, and asking myself: em(Which has more life?)
Christopher Alexander|The Nature of Order, Book 1|What I am proposing is that these observations of an observer's inner state are not merely a reflection of a person's attitude or psychology, but can actually be used to measure something real about the external world em(itself).
Christopher Alexander|The Nature of Order, Book 1|Can it really be true that something as elusive as freedom - and perhaps even the deeper capacity to be human - depends in some way on the environment?
Christopher Alexander|The Nature of Order, Book 2|Living structure in buildings can only be em(generated). It cannot be created by brute force from designs... the building - its conception, plan design, detailed layout, structural design, and material detail are all unfolded, step by step in time.
Christopher Alexander|The Nature of Order, Book 2|Insofar as unfolded buildings are lovable, what we love about them is not their age but the rightness which we experience in them. This rightness got into them em(as a result of a step-by-step unfolding process). We can see and feel the rightness. And we see it and feel it because it has a different geometric character from the character which is created by "design".
Christopher Alexander|The Nature of Order, Book 2|The step-by-step approach works. The all-or-nothing does not work. This is the secret of biological evolution... It would be impossible for nature to "design" a system as complex as an organism all at once.
Christopher Alexander|The Nature of Order, Book 2|As any designer will tell you, it is the first steps in a design process which count for most. The first few strokes, which create the form, carry within them the destiny of the rest.
Christopher Alexander|The Nature of Order, Book 2|It is essential to form this vision of the emerging building em(in your mind's eye), not in sketches on paper. Words and interior visions, when seen with your eyes closed, are more labile, more fluid, transformable, and three-dimensional, than sketches or physical designs.
Christopher Alexander|The Nature of Order, Book 2|...to prune a design, and look at it over and over again, searching for any little parts that are not centers - and then work at it, compressing, cutting, simplifying, re-arranging, until every single part, and every part of every part, and every part between the parts are all centers. This is tremendously hard work.
Christopher Alexander|The Nature of Order, Book 2|The single most important thing that happens during the process of making anything, is the ever watchful task of getting the next bit of sequence right and modifying it as we go along. Paying attention to what has to be done next, and getting this right, is as important as what one actually does. The more one understands the idea of unfolding, and the more one understands the key role which sequence plays in the unfolding process, the more it becomes clear that the process of design and the process of construction are inseparable.
Christopher Alexander|The Nature of Order, Book 2|We aim, by the end, to remove all extraneous structure. What we want is to cut and cut and cut until there is almost nothing left.
Christopher Alexander|The Nature of Order, Book 2|Simplicity is the state in which all structure is removed, except exactly that structure which is required.
Christopher Alexander|The Nature of Order, Book 2|You know the em(feeling) which the thing will have. But you do em(not) know the em(form). In fact, you keep having to change the form, because as the work unfolds, you find out many, many details which have the wrong feeling, which do not function, in response to the whole, as you thought they would. Because you keep the em(feeling) constant, you em(have) to change the form.
Christopher Alexander|The Nature of Order, Book 2|It is em(feeling), above all, which has the greatest chance of dealing with the whole in a balanced way, because it is precisely the nature of feeling that it does embrace the whole - while intellectual ideas more often concentrate on parts and end up getting them out of proportion.
Christopher Alexander|The Nature of Order, Book 2|Most present-day architects like em(talking) about construction, but are afraid of construction tools, and have little feeling for them. In many cases, getting their hands dirty scares them.
Christopher Alexander|The Nature of Order, Book 2|The gradual rubbing together of phenomena to get the right result, the slow process of getting things right, is almost unknown to us today.
Christopher Alexander|The Nature of Order, Book 3|In our century the loss of control and loss of belonging started with the car.
Christopher Alexander|The Nature of Order, Book 3|...making even tiny changes too casually can be damaging.
Christopher Alexander|The Nature of Order, Book 3|What an extreme comment on the state of the world: that people should weep, merely because they are allowed to sketch on paper the apartment layout that they wanted for their family.
Christopher Alexander|The Nature of Order, Book 3|Go into your mind's eye pretending to walk through the building, as if it existed already, but you are seeing it for the first time, and are stunned by its beauty. Your are genuinely surprised. You find yourself stunned by the beauty of the rooms. And you ask yourself, then, which features of what I am seeing, are making it so beautiful?
Christopher Alexander|The Nature of Order, Book 3|What will generate tranquility? The essence of it is pretty simple, but requires much concentration. Stand in the place. Ask yourself what you should put there - a certain stone on the mantel, a color on a piece of wall, the shape of an opening. For any of these, you ask, does it generate greater tranquility in me? If it does, keep it. If it does not, reject it. Keep on doing that, for everything around you. And then, get rid of everything else.
Christopher Alexander|The Nature of Order, Book 4|...the underlying design vocabulary of the 20th century, almost throughout the century, asserted that designers should create structures that are "interesting", "pleasing", "fantastic", "exhilarating", "with elan", and so on - anything but em(beautiful). em(That) word has unalterable meaning, cannot be contaminated, and during the temporary insanity of the 20th century, struck a nerve which people could not tolerate.
Christopher Alexander|The Nature of Order, Book 4|What is the reason for this "food-like" character of the making process? Why should it matter so much, whether a person makes something beautiful or not? Why should it have such a profound effect on the maker?
Christopher Alexander|The Nature of Order, Book 4|In order to create living structure, we must please ourselves....And you need em(only) please yourself. But you must please yourself em(truly).
Christopher Alexander|The Nature of Order, Book 4|It is very, very hard to make a beautiful building.
Christopher Alexander|The Nature of Order, Book 4|I try to shape the volume such that its volume brings tears to my throat...This sadness of tears, when I reach it, is also joy.
Christopher Alexander|The Timeless Way of Building|Here there is no mastery of unnameable creative processes: only the patience of a craftsman, chipping away slowly; the mastery of what is made does not lie in the depths of some impenetrable ego; it lies, instead, in the simple mastery of the steps in the process, and in the definition of these steps.
Christopher Alexander|The Timeless Way of Building|The simple process by which people generate a living building, simply by walking it out, waving their arms, thinking together, placing stakes in the ground, will always touch them deeply.
Kingsley Amis|Lucky Jim|Dixon liked and revered him for his air of detesting everything that presented itself to his senses, and of not meaning to let this detestation become staled by custom.
Kingsley Amis|Lucky Jim|"I doubt it," he said at last. "Upon consideration, I feel it incumbent upon me to doubt it. I have miscellaneous concerns in London that need my guiding hand."
Kingsley Amis|Lucky Jim|She went on like this while Dixon looked her in the eyes. His panic mounted in sincerity and volume.
Kingsley Amis|Lucky Jim|"I've finished with Bertrand." She spoke as if of a household detergent that had proved unsatisfactory.
Martin Amis|The Information|His hair resembled damp ripe hay that had undergone reckless chemical enrichment.
Martin Amis|The Information|His third novel wasn't published anywhere. Neither was his fourth. Neither was his fifth. In those three brief sentences we adumbrate a Mahabharata of pain.
Martin Amis|The Information|Now Pluto. One should never mock the afflicted, of course, but Pluto really is an awful little piece of shit.
Martin Amis|The Information|He looked Richard up and down, and said, as if identifying him by name, "Charisma bypass."
Martin Amis|The Information|The target is driving along. Without a care in the world, as they say. Although of course no one old enough to drive is without a care in the world. No one old enough to drive a trike is without a care in the world.
Martin Amis|The Information|It would seem that the universe is thirty billion light-years across and every inch of it would kill us if we went there. This is the position of the universe with regard to human life.
Martin Amis|The Information|In appearance Frances Ort suggested a rainbow coalition of the chromosomes. She could probably go anywhere in the five boroughs - Harlem, Little Astoria, Chinatown - and provoke no comment other than the usual incitements to immediate and rigorous sexual congress.
Martin Amis|Time's Arrow|From my point of view, work is an eight-hour panic attack.
Martin Amis|Time's Arrow|The humans had grown their winter coats, and the high buildings trembled in the tight grip of their stress equations.
Martin Amis|Time's Arrow|I didn't immediately see this: that now human shit is out in the open, we'll get a chance to find out what this stuff can really do.
Martin Amis|Time's Arrow|... but these days, as Odilo says again and again to all his friends (and the compliment, I think, is pitched decorously high), she bangs like a shithouse door in a gale.
Aristotele|NULL|Chiunque può arrabbiarsi: questo è facile. Ma arrabbiarsi con la persona giusta, e nel grado giusto, ed al momento giusto, e per lo scopo giusto, e nel modo giusto: questo non è nelle possibilità di chiunque e non è facile.
W. H. Auden|As I Walked Out One Evening|...The years shall run like rabbits^NL^For in my arms I hold^NL^The Flower of the Ages,^NL^And the first love of the world.^NL^^NL^But all the clocks in the city^NL^Began to whir and chime:^NL^O let not time deceive you,^NL^You cannot conquer time....^NL^^NL^In headaches and in worry^NL^Vaguely life leaks away,^NL^And Time will have his fancy^NL^To-morrow or today...^NL^
Marco Aurelio|NULL|...ogni attimo una punta di eternità.
